step,true,pred,loss,error,abs_error
0,0.026510717,1.8649653,4.153127670288086,-1.8384546,1.8384546
1,-0.013371226,0.023785861,0.001696495688520372,-0.03715709,0.03715709
2,0.031587485,-0.047087546,0.007605771068483591,0.07867503,0.07867503
3,0.040540013,-0.018516956,0.004285604227334261,0.059056967,0.059056967
4,0.32258287,-0.012553957,0.13801102340221405,0.33513683,0.33513683
5,0.30990517,0.1369242,0.03676765784621239,0.17298096,0.17298096
6,0.2516114,0.23274353,0.0004374366835691035,0.01886788,0.01886788
7,0.3610529,0.049078587,0.11959335207939148,0.31197432,0.31197432
8,0.340645,0.20858733,0.021428734064102173,0.13205765,0.13205765
9,0.31100285,0.17285341,0.02345133200287819,0.13814944,0.13814944
10,0.17415835,0.35860357,0.04180268198251724,-0.18444522,0.18444522
11,0.33006424,0.4747466,0.025721751153469086,-0.14468238,0.14468238
12,0.35402974,0.49512082,0.024460673332214355,-0.14109108,0.14109108
13,0.305129,0.38011113,0.006908523850142956,-0.07498214,0.07498214
14,0.30033562,0.3519492,0.003273383714258671,-0.05161357,0.05161357
15,0.5283141,0.5680459,0.0019397508585825562,-0.0397318,0.0397318
16,0.5411208,0.51698387,0.0007158701773732901,0.02413696,0.02413696
17,0.42106003,0.4059505,0.0002805253316182643,0.015109539,0.015109539
18,0.4918064,0.42796484,0.0050081368535757065,0.06384155,0.06384155
19,0.7105408,0.68700016,0.0006809336482547224,0.023540616,0.023540616
20,0.5340684,0.67295194,0.02370123192667961,-0.13888353,0.13888353
21,0.66569924,0.71634334,0.0031515697482973337,-0.0506441,0.0506441
22,0.655752,1.0836908,0.225025936961174,-0.42793876,0.42793876
23,0.7507747,0.82789344,0.007307850290089846,-0.077118754,0.077118754
24,0.639204,0.8168595,0.03878166899085045,-0.17765546,0.17765546
25,0.75773907,0.8212705,0.004959601443260908,-0.06353146,0.06353146
26,0.7887312,0.8144975,0.000815774779766798,-0.025766253,0.025766253
27,0.81719214,0.94973993,0.021588094532489777,-0.1325478,0.1325478
28,0.82355946,0.8759192,0.0033687169197946787,-0.05235976,0.05235976
29,0.8707318,1.0952792,0.061956342309713364,-0.22454745,0.22454745
30,1.0751868,1.0769933,4.010155407740967e-06,-0.0018064976,0.0018064976
31,1.1309801,1.1415563,0.00013744228635914624,-0.010576129,0.010576129
32,0.8288541,0.8700164,0.0020819425117224455,-0.041162312,0.041162312
33,0.6779463,1.0947498,0.21346768736839294,-0.41680348,0.41680348
34,0.98537153,1.1125118,0.019862590357661247,-0.12714022,0.12714022
